Label,Epsilon,Success,SNR_dB
go,0.001,False,38.41460466384888
go,0.005,True,24.435205459594727
go,0.01,True,18.41460347175598
go,0.02,True,12.394005060195923
go,0.05,True,4.435202479362488
go,0.1,True,-1.5853975713253021
no,0.001,False,36.337153911590576
no,0.005,True,22.357757091522217
no,0.01,True,16.337156295776367
no,0.02,True,10.316556692123413
no,0.05,True,2.357754111289978
no,0.1,True,-3.6628457903862
stop,0.001,True,33.08100461959839
stop,0.005,False,19.10160779953003
stop,0.01,False,13.081008195877075
stop,0.02,False,7.060407996177673
stop,0.05,True,-0.898393988609314
stop,0.1,True,-6.918994188308716
up,0.001,True,36.012024879455566
up,0.005,True,22.032628059387207
up,0.01,True,16.012027263641357
up,0.02,True,9.991427063941956
up,0.05,True,2.0326250791549683
up,0.1,True,-3.9879748225212097
down,0.001,False,35.48354625701904
down,0.005,False,21.504149436950684
down,0.01,False,15.48354983329773
down,0.02,False,9.462949633598328
down,0.05,False,1.5041477978229523
down,0.1,True,-4.516451954841614
yes,0.001,True,38.43193531036377
yes,0.005,False,24.45253610610962
yes,0.01,False,18.431936502456665
yes,0.02,False,12.411336898803711
yes,0.05,True,4.452534914016724
yes,0.1,True,-1.5680649876594543
on,0.001,False,36.99934482574463
on,0.005,True,23.01994800567627
on,0.01,True,16.999348402023315
on,0.02,True,10.978747606277466
on,0.05,True,3.0199462175369263
on,0.1,True,-3.0006536841392517
off,0.001,True,35.410048961639404
off,0.005,True,21.430649757385254
off,0.01,True,15.410051345825195
off,0.02,True,9.389451146125793
off,0.05,True,1.4306488633155823
off,0.1,True,-4.589951038360596
