Label,Epsilon,Success,SNR_dB
go,0.001,True,43.23930740356445
go,0.005,True,29.005675315856934
go,0.01,True,23.15648078918457
go,0.02,True,17.310051918029785
go,0.05,True,9.423720240592957
go,0.1,True,3.3331117033958435
no,0.001,True,41.14835262298584
no,0.005,True,26.925551891326904
no,0.01,True,21.135988235473633
no,0.02,True,15.274394750595093
no,0.05,True,7.321754097938538
no,0.1,True,1.2086773663759232
stop,0.001,True,37.60421276092529
stop,0.005,True,24.153661727905273
stop,0.01,True,18.075450658798218
stop,0.02,True,12.037159204483032
stop,0.05,True,4.081707000732422
stop,0.1,True,-1.9359181821346283
up,0.001,True,40.874857902526855
up,0.005,True,26.712219715118408
up,0.01,True,20.732474327087402
up,0.02,True,14.900878667831421
up,0.05,True,6.981464624404907
up,0.1,True,1.0439737886190414
down,0.001,True,39.76438760757446
down,0.005,True,26.162395477294922
down,0.01,True,20.22953748703003
down,0.02,True,14.37334418296814
down,0.05,True,6.4970844984054565
down,0.1,True,0.4254370555281639
yes,0.001,True,43.14635753631592
yes,0.005,True,29.35617685317993
yes,0.01,True,23.42525005340576
yes,0.02,True,17.530025243759155
yes,0.05,True,9.430654644966125
yes,0.1,True,3.358842432498932
on,0.001,True,41.944313049316406
on,0.005,True,27.81625747680664
on,0.01,True,21.88572645187378
on,0.02,True,15.981634855270386
on,0.05,True,8.044395446777344
on,0.1,True,2.092915326356888
off,0.001,True,39.7482967376709
off,0.005,True,26.05790615081787
off,0.01,True,20.11253833770752
off,0.02,True,14.201546907424927
off,0.05,True,6.419405937194824
off,0.1,True,0.4638078063726425
