Label,QueryBudget,Success
go,5,False
go,10,False
go,25,False
go,50,False
go,100,True
no,5,False
no,10,False
no,25,True
no,50,False
no,100,True
stop,5,False
stop,10,False
stop,25,True
stop,50,True
stop,100,True
up,5,True
up,10,False
up,25,True
up,50,True
up,100,True
down,5,False
down,10,False
down,25,False
down,50,False
down,100,False
yes,5,False
yes,10,False
yes,25,False
yes,50,False
yes,100,True
on,5,False
on,10,True
on,25,True
on,50,True
on,100,True
off,5,False
off,10,True
off,25,True
off,50,True
off,100,True
