Attack,Label,Success,SNR_dB,Queries,Time_Sec
FGSM,right,False,10.587375164031982,,0.01488494873046875
PGD,right,True,15.512862205505371,,0.06705021858215332
Square Attack,right,True,13.949775695800781,24.0,0.04436755180358887
FGSM,go,True,12.394005060195923,,0.004790782928466797
PGD,go,True,17.310051918029785,,0.05118393898010254
Square Attack,go,True,15.340713262557983,19.0,0.045876502990722656
FGSM,no,True,10.316556692123413,,0.0076198577880859375
PGD,no,True,15.274394750595093,,0.05051064491271973
Square Attack,no,True,18.429027795791626,3.0,0.006032228469848633
FGSM,no,True,12.890143394470215,,0.004389524459838867
PGD,no,True,17.746257781982422,,0.05336308479309082
Square Attack,no,True,20.436558723449707,7.0,0.015286684036254883
FGSM,left,True,15.480529069900513,,0.0050449371337890625
PGD,left,True,20.1059889793396,,0.050757408142089844
Square Attack,left,True,23.3024001121521,9.0,0.015091419219970703
FGSM,left,True,11.191339492797852,,0.006781101226806641
PGD,left,True,16.099447011947632,,0.05741715431213379
Square Attack,left,True,17.27206826210022,5.0,0.007730245590209961
FGSM,left,True,8.612129092216492,,0.006156444549560547
PGD,left,True,13.320615291595459,,0.04845428466796875
Square Attack,left,False,11.12927794456482,51.0,0.09684514999389648
FGSM,stop,False,7.060407996177673,,0.007379293441772461
PGD,stop,True,12.037159204483032,,0.05990791320800781
Square Attack,stop,True,17.737572193145752,4.0,0.008743047714233398
FGSM,stop,True,17.946516275405884,,0.008298873901367188
PGD,stop,True,22.76479959487915,,0.056146860122680664
Square Attack,stop,False,19.829928874969482,51.0,0.09600591659545898
FGSM,stop,False,9.867210984230042,,0.0057697296142578125
PGD,stop,True,14.756969213485718,,0.04596114158630371
Square Attack,stop,True,19.4805109500885,3.0,0.006245136260986328
FGSM,stop,False,13.20887565612793,,0.005387783050537109
PGD,stop,True,18.151813745498657,,0.04423928260803223
Square Attack,stop,True,21.365511417388916,3.0,0.004995107650756836
FGSM,up,True,9.991427063941956,,0.006542682647705078
PGD,up,True,14.900878667831421,,0.05237531661987305
Square Attack,up,True,16.201772689819336,4.0,0.010324239730834961
FGSM,up,True,10.039583444595337,,0.013799428939819336
PGD,up,True,14.817488193511963,,0.08845853805541992
Square Attack,up,True,15.480669736862183,5.0,0.01752471923828125
FGSM,down,False,9.462949633598328,,0.010578393936157227
PGD,down,True,14.37334418296814,,0.08098006248474121
Square Attack,down,False,12.283644676208496,51.0,0.15030574798583984
FGSM,down,False,20.13957977294922,,0.006956338882446289
PGD,down,True,25.184099674224854,,0.04700326919555664
Square Attack,down,False,21.82448148727417,51.0,0.10071563720703125
FGSM,down,False,12.915798425674438,,0.008714914321899414
PGD,down,True,17.761064767837524,,0.0621795654296875
Square Attack,down,True,16.398779153823853,50.0,0.10128998756408691
FGSM,down,False,15.841655731201172,,0.01047825813293457
PGD,down,True,20.527892112731934,,0.08494257926940918
Square Attack,down,False,17.698317766189575,51.0,0.17804479598999023
FGSM,yes,False,12.411336898803711,,0.012628555297851562
PGD,yes,True,17.530025243759155,,0.06092023849487305
Square Attack,yes,True,15.72572946548462,15.0,0.03554797172546387
FGSM,yes,False,14.063180685043335,,0.008555412292480469
PGD,yes,True,19.0743887424469,,0.05481839179992676
Square Attack,yes,True,21.137850284576416,6.0,0.010379791259765625
FGSM,yes,False,8.41199815273285,,0.008492708206176758
PGD,yes,True,13.50942611694336,,0.051215410232543945
Square Attack,yes,True,15.019968748092651,5.0,0.01117563247680664
FGSM,on,True,10.978747606277466,,0.00795888900756836
PGD,on,True,15.981634855270386,,0.061926841735839844
Square Attack,on,True,21.91741704940796,4.0,0.012494802474975586
FGSM,on,True,10.12366771697998,,0.009763479232788086
PGD,on,True,15.082221031188965,,0.052681684494018555
Square Attack,on,False,13.74376893043518,51.0,0.12750482559204102
FGSM,on,True,14.77940320968628,,0.009184837341308594
PGD,on,True,19.69501256942749,,0.06852912902832031
Square Attack,on,True,20.978422164916992,5.0,0.014305830001831055
FGSM,on,False,14.47627067565918,,0.009409427642822266
PGD,on,True,19.356800317764282,,0.040390729904174805
Square Attack,on,True,17.845152616500854,10.0,0.016329526901245117
FGSM,on,False,13.663334846496582,,0.007252693176269531
PGD,on,True,18.63370418548584,,0.04715871810913086
Square Attack,on,True,21.964385509490967,6.0,0.00882863998413086
FGSM,off,True,9.389451146125793,,0.0051500797271728516
PGD,off,True,14.201546907424927,,0.050425052642822266
Square Attack,off,True,19.722167253494263,2.0,0.003915071487426758
FGSM,off,True,9.17860746383667,,0.00776362419128418
PGD,off,True,13.954782485961914,,0.07507467269897461
Square Attack,off,True,15.271462202072144,11.0,0.02874612808227539
